"seconds","count","foodquant"
0,21,899979
0,21,899958
0,21,899937
0,21,899916
0,21,899895
0,21,899874
0,21,899853
0,21,899832
0,21,899811
0,21,899790
1,21,899769
1,21,899748
1,21,899727
1,21,899706
1,21,899685
1,21,899664
1,21,899643
1,21,899622
1,21,899601
1,21,899580
2,21,899559
2,21,899538
2,21,899517
2,21,899496
2,21,899475
2,21,899454
2,21,899433
2,21,899412
2,21,899391
2,21,899370
3,21,899349
3,21,899328
3,21,899307
3,21,899286
3,21,899265
3,21,899244
3,21,899223
3,21,899202
3,21,899181
3,21,899160
4,21,899139
4,21,899118
4,21,899097
4,21,899076
4,21,899055
4,21,899034
4,21,899013
4,21,898992
4,21,898971
5,21,898950
5,21,898929
5,21,898908
5,21,898887
5,21,898866
5,21,898845
5,21,898824
5,21,898803
5,21,898782
5,21,898761
6,21,898740
6,21,898719
6,21,898698
6,21,898677
6,21,898656
6,21,898635
6,21,898614
6,21,898593
6,21,898572
6,21,898551
7,21,898530
7,21,898509
7,21,898488
7,21,898467
7,21,898446
7,21,898425
7,21,898404
7,21,898383
7,21,898362
7,21,898341
8,21,898320
8,21,898299
8,21,898278
8,21,898257
8,21,898236
8,21,898215
8,21,898194
8,21,898173
8,21,898152
8,21,898131
9,21,898110
9,21,898089
9,21,898068
9,21,898047
9,21,898026
9,21,898005
9,21,897984
9,21,897963
9,21,897942
9,21,897921
10,21,897900
10,21,897879
10,21,897858
10,21,897837
10,21,897816
10,21,897795
10,21,897774
10,21,897753
10,21,897732
10,21,897711
11,21,897690
11,21,897669
11,21,897648
11,21,897627
11,21,897606
11,21,897585
11,21,897564
11,21,897543
11,21,897522
11,21,897501
12,21,897480
12,21,897459
12,21,897438
12,21,897417
12,21,897396
12,21,897375
12,21,897354
12,21,897333
12,21,897312
13,21,897291
13,21,897270
13,21,897249
13,21,897228
13,21,897207
13,21,897186
13,21,897165
13,21,897144
13,21,897123
13,21,897102
14,21,897081
14,21,897060
14,21,897039
14,21,897018
14,21,896997
14,21,896976
14,21,896955
14,21,896934
14,21,896913
14,21,896892
15,21,896871
15,21,896850
15,21,896829
15,21,896808
15,21,896787
15,21,896766
15,21,896745
15,21,896724
15,21,896703
15,21,896682
16,21,896661
16,21,896640
16,21,896619
16,21,896598
16,21,896577
16,21,896556
16,21,896535
16,21,896514
16,21,896493
16,21,896472
17,21,896451
17,21,896430
17,21,896409
17,21,896388
17,21,896367
17,21,896346
17,21,896325
17,21,896304
17,21,896283
17,21,896262
18,21,896241
18,21,896220
18,22,896198
18,22,896176
18,22,896154
18,23,896131
18,23,896108
18,23,896085
18,24,896061
18,24,896037
19,24,896013
19,24,895989
19,24,895965
19,25,895940
19,25,895915
19,25,895890
19,25,895865
19,25,895840
19,25,895815
19,25,895790
20,25,895765
20,25,895740
20,25,895715
20,25,895690
20,25,895665
20,25,895640
